fid,field_1_1,Name,osm_id,ref,oneway,maxspeed,bridge,tunnel,Y,X,Z
263,10651,Prithvi Highway,574909741,H04,B,0,F,F,28.1185266,84.0925114,623.3
264,10653,Prithvi Highway,574909741,H04,B,0,F,F,28.1178341,84.092558,624.8
265,10655,Prithvi Highway,574909741,H04,B,0,F,F,28.1173894,84.0925312,623.1
266,10657,Prithvi Highway,574909741,H04,B,0,F,F,28.1169395,84.0925167,621
267,10659,Prithvi Highway,574909741,H04,B,0,F,F,28.1160445,84.0924561,622.8
268,10661,Prithvi Highway,574909741,H04,B,0,F,F,28.1156104,84.0924253,622.8
269,10663,Prithvi Highway,574909741,H04,B,0,F,F,28.1151728,84.0923796,623.1
270,10665,Prithvi Highway,574909741,H04,B,0,F,F,28.1123354,84.0920854,611.2
271,10667,Prithvi Highway,574909741,H04,B,0,F,F,28.1115224,84.0920001,610.9
272,10669,Prithvi Highway,574909741,H04,B,0,F,F,28.1111545,84.0919612,609.3
273,10671,Prithvi Highway,574909741,H04,B,0,F,F,28.1109688,84.0919237,608.3
274,10673,Prithvi Highway,574909741,H04,B,0,F,F,28.1107958,84.0918708,607.4
275,10675,Prithvi Highway,574909741,H04,B,0,F,F,28.1105098,84.0917453,606.5
276,10677,Prithvi Highway,574909741,H04,B,0,F,F,28.1102519,84.0915983,604.3
277,10679,Prithvi Highway,574909741,H04,B,0,F,F,28.1097646,84.091233,601.7
278,10681,Prithvi Highway,574909741,H04,B,0,F,F,28.1092968,84.0908796,601.4
279,10683,Prithvi Highway,574909741,H04,B,0,F,F,28.1090482,84.0906741,601.7
280,10685,Prithvi Highway,574909741,H04,B,0,F,F,28.1082102,84.0900448,597.4
281,10687,Prithvi Highway,574909741,H04,B,0,F,F,28.1073639,84.0893914,594.1
282,10689,Prithvi Highway,574909741,H04,B,0,F,F,28.1061396,84.0884677,589.5
283,10691,Prithvi Highway,574909741,H04,B,0,F,F,28.1058014,84.0881939,591.1
284,10693,Prithvi Highway,574909741,H04,B,0,F,F,28.1055107,84.0878668,591.5
285,10695,Prithvi Highway,574909741,H04,B,0,F,F,28.1052339,84.0875101,591.7
286,10697,Prithvi Highway,574909741,H04,B,0,F,F,28.1047766,84.0868656,594.7
287,10699,Prithvi Highway,574909741,H04,B,0,F,F,28.1046886,84.0867671,593.3
288,10701,Prithvi Highway,574909741,H04,B,0,F,F,28.1045916,84.0866826,590
289,10703,Prithvi Highway,574909741,H04,B,0,F,F,28.1043644,84.0865271,586.3
