fid,field_1,Name,osm_id,code,fclass,ref,oneway,maxspeed,bridge,tunnel,len,distance,angle,y,x,z
"914","6691",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,33.25551096,0.000324072,124.8964259,27.9795279,84.237978,444.9
"915","6693",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,11.08997316,0.000110229,114.3794277,27.9794824,84.2380784,446.9
"916","6695",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,4.917049985,4.89e-05,114.414846,27.9794622,84.2381229,447.8
"917","6697",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,12.1200445,0.000123091,94.56649736,27.9794524,84.2382456,447.9
"918","6699",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,8.778806075,8.88e-05,79.36053291,27.9794688,84.2383329,446.7
"919","6701",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,34.31873565,0.000331116,50.25646368,27.9796805,84.2385875,438
"920","6703",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,26.01867598,0.000255859,59.6968171,27.9798096,84.2388084,436.8
"921","6705",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,15.85534894,0.000155138,57.12941215,27.9798938,84.2389387,435.3
"922","6707",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,26.439233,0.000264327,69.26129085,27.9799874,84.2391859,430.5
"923","6709",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,15.92416335,0.000161808,92.90484392,27.9799792,84.2393475,429.7
"924","6711",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,11.84065656,0.000118775,108.4044399,27.9799417,84.2394602,430.1
"925","6713",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,22.21017489,0.000217527,122.3823053,27.9798252,84.2396439,429.4
"926","6715",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,22.29591118,0.000208299,145.7606422,27.979653,84.2397611,428.8
"927","6717",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,25.3774105,0.000231358,161.9722861,27.979433,84.2398327,427.5
"928","6719",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,28.75612774,0.000264749,154.4705935,27.9791941,84.2399468,426.5
"929","6721",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,12.51214501,0.000122121,124.119485,27.9791256,84.2400479,427.5
"930","6723",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,17.62408549,0.00017823,101.2594961,27.9790908,84.2402227,429
"931","6725",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,38.81618978,0.000392546,78.74731749,27.9791674,84.2406077,425.8
"932","6727",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,23.41308532,0.000235232,72.78982478,27.979237,84.2408324,423.7
"933","6729",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,121.8800804,0.001212975,66.38522771,27.9797229,84.2419438,418
"935","6733",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,91.61087608,0.00088108,48.7272075,27.9804479,84.2428436,410.6
"936","6735",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,33.31786346,0.000328268,60.70975166,27.9806085,84.2431299,406.6
"937","6737",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,44.70258798,0.000445509,67.2337203,27.9807809,84.2435407,407.4
"938","6739",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,41.72975596,0.000415886,67.23918761,27.9809418,84.2439242,410.1
"939","6741",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,58.74378806,0.00057814,60.12236178,27.9812298,84.2444255,405.5
"940","6743",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,18.3370179,0.000182688,67.02790639,27.9813011,84.2445937,404.8
"941","6745",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,15.82743237,0.000159143,73.38696662,27.9813466,84.2447462,404.3
"942","6747",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,77.51118315,0.000783818,78.6542281,27.9815008,84.2455147,397.3
"943","6749",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,47.1002472,0.000463377,59.92691155,27.981733,84.2459157,389.9
"944","6751",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,25.2282121,0.000246934,57.30102099,27.9818664,84.2461235,385.8
"945","6753",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,18.08823909,0.000177427,58.38826663,27.9819594,84.2462746,383.7
"946","6755",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,24.2095656,0.000242088,69.39409384,27.9820446,84.2465012,383.4
"947","6757",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,15.9180973,0.000160778,77.39002043,27.9820797,84.2466581,384.5
"948","6759",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,16.36747148,0.000165978,82.34832777,27.9821018,84.2468226,386.3
"949","6761",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,16.22372533,0.000164782,94.38537145,27.9820892,84.2469869,387.9
"950","6763",Prithvi Highway,"216643915","5112",trunk,H04,B,"0",F,F,13.1598263,0.00013369,93.77416336,27.9820804,84.2471203,387
